;DAV 2008 T;
x;qx;qy
0;0.006113;0.005088
1;0.000423;0.000387
2;0.000343;0.000318
3;0.000275;0.000255
4;0.00022;0.000202
5;0.000182;0.000163
6;0.000155;0.000134
7;0.000139;0.000115
8;0.000129;0.000105
9;0.000125;0.000099
10;0.000129;0.000102
11;0.000143;0.000111
12;0.000173;0.000127
13;0.000222;0.000153
14;0.000303;0.000188
15;0.000417;0.000228
16;0.000557;0.000271
17;0.000709;0.00031
18;0.00085;0.000324
19;0.000953;0.00033
20;0.001012;0.000328
21;0.001022;0.000322
22;0.001004;0.000314
23;0.000963;0.000304
24;0.000911;0.000297
25;0.000856;0.000293
26;0.000808;0.000292
27;0.000772;0.000292
28;0.000752;0.000296
29;0.000745;0.000302
30;0.000752;0.000311
31;0.000768;0.000327
32;0.000791;0.000351
33;0.00082;0.000386
34;0.000855;0.000433
35;0.000895;0.00049
36;0.000945;0.000555
37;0.001005;0.000624
38;0.001083;0.000701
39;0.001181;0.000783
40;0.001301;0.000872
41;0.001447;0.000972
42;0.001623;0.001084
43;0.001833;0.001213
44;0.002082;0.001359
45;0.002364;0.001524
46;0.002669;0.001706
47;0.002983;0.001903
48;0.003302;0.002109
49;0.00363;0.002324
50;0.003981;0.002546
51;0.004371;0.002782
52;0.004812;0.003035
53;0.005308;0.003306
54;0.005857;0.003593
55;0.00646;0.003898
56;0.007117;0.004228
57;0.007831;0.004585
58;0.008604;0.004974
59;0.009454;0.005402
60;0.010404;0.005884
61;0.011504;0.006449
62;0.012818;0.007126
63;0.014429;0.007935
64;0.016415;0.008898
65;0.018832;0.010025
66;0.021704;0.011323
67;0.025016;0.012797
68;0.028738;0.01446
69;0.032822;0.016332
70;0.037219;0.01844
71;0.04188;0.020813
72;0.046597;0.023475
73;0.051181;0.027035
74;0.05611;0.030413
75;0.061477;0.034287
76;0.067433;0.038749
77;0.07416;0.043937
78;0.081806;0.049993
79;0.090478;0.057024
80;0.100261;0.065113
81;0.111193;0.074288
82;0.123283;0.08459
83;0.136498;0.096095
84;0.150887;0.109028
85;0.1665;0.123611
86;0.183344;0.140022
87;0.201323;0.158257
88;0.220284;0.178185
89;0.240073;0.199669
90;0.260556;0.222504
91;0.281602;0.246453
92;0.303079;0.271195
93;0.324872;0.295584
94;0.346887;0.319362
95;0.369051;0.343441
96;0.391305;0.367818
97;0.413938;0.392493
98;0.437313;0.41746
99;0.461101;0.442716
100;0.485304;0.468258
101;0.509924;0.494075
102;0.534957;0.520164
103;0.560407;0.546514
104;0.586265;0.573114
105;0.612529;0.599953
106;0.639188;0.627014
107;0.666233;0.654283
108;0.693651;0.681741
109;0.721425;0.709364
110;0.749533;0.73713
111;0.77795;0.765011
112;0.806647;0.792974
113;0.835585;0.820987
114;0.864722;0.849009
115;0.894008;0.876998
116;0.923382;0.904905
117;0.952778;0.932675
118;0.982113;0.960249
119;1;0.987564
120;1;1
121;1;1
