Beginnjahr;Beginnmonat;ZahlweiseInkasso;GeschlechtVP1;RauchertypVP1;x;n;t;Leistung;tba
2019;10;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;26;34;2;121388.32;6979.98
2017;7;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;52;6;2;565470;12047.01
2018;7;MONATLICH;WEIBLICH;NICHTRAUCHEN;35;24;11;390215.87;3839.28
2017;5;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;18;5;2;100576.37;663.29
2019;9;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;39;18;3;494706.73;12944.28
2017;1;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;50;2;1;126080.74;1424.5
2018;3;HALBJAEHRLICH;MAENNLICH;RAUCHEN;20;39;36;333627.02;2073.04
2018;9;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;38;5;2;933833.5;7265.35
2017;3;HALBJAEHRLICH;MAENNLICH;RAUCHEN;39;21;9;863715.14;16376.47
2018;11;MONATLICH;WEIBLICH;RAUCHEN;47;11;10;920987.13;11202.35
2018;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;58;1;1;40915.37;742.21
2019;1;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;18;47;14;923294.92;11620.92
2018;2;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;40;11;7;547128.56;3558.95
2017;1;MONATLICH;MAENNLICH;NICHTRAUCHEN;55;9;8;939094.25;10994.2
2019;5;MONATLICH;WEIBLICH;RAUCHEN;23;39;32;767422.45;6293.88
2018;8;HALBJAEHRLICH;MAENNLICH;RAUCHEN;47;19;6;114177.22;5165.9
2019;10;MONATLICH;MAENNLICH;NICHTRAUCHEN;50;3;3;185527.38;1120.58
2019;9;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;48;1;1;450558.81;2268.88
2017;10;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;56;7;3;646409.38;14459.81
2018;9;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;58;5;1;231225.73;11778.61
2018;10;MONATLICH;WEIBLICH;NICHTRAUCHEN;58;2;2;76333.37;751.46
2017;10;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;37;24;24;164959.91;949.35
2017;2;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;60;6;6;534458.9;7355.2
2017;6;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;31;30;12;361142.05;5993.45
2019;1;HALBJAEHRLICH;MAENNLICH;RAUCHEN;56;4;1;119206.66;7834.11
2019;12;MONATLICH;WEIBLICH;RAUCHEN;51;1;1;957534.89;9446.13
2018;12;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;21;25;13;556953.79;2962.23
2018;11;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;27;34;32;521378.81;2636.32
2017;9;HALBJAEHRLICH;WEIBLICH;RAUCHEN;55;3;1;726217.03;31581.25
2018;6;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;36;15;11;194083.21;1010.09
2019;11;JAEHRLICH;WEIBLICH;RAUCHEN;27;21;19;514021.83;2297.12
2017;4;MONATLICH;MAENNLICH;NICHTRAUCHEN;31;1;1;583906.26;1602.03
2017;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;49;4;3;219132.03;2725.5
2017;10;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;33;5;3;640474.13;2919.27
2018;8;HALBJAEHRLICH;MAENNLICH;NICHTRAUCHEN;57;2;1;147861.27;2615.12
2018;7;MONATLICH;WEIBLICH;NICHTRAUCHEN;48;11;2;258771.56;8944.54
2017;11;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;18;48;21;627347.33;9084.31
2019;6;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;29;33;6;220178.77;4764.16
2019;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;18;39;38;173977.1;706.24
2017;7;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;53;4;4;90058.66;663.37
2017;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;40;13;10;930963.28;5458.91
2017;12;JAEHRLICH;MAENNLICH;RAUCHEN;51;3;1;570884.82;17355.41
2017;5;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;55;1;1;538977.54;7435.9
2018;12;MONATLICH;WEIBLICH;RAUCHEN;59;7;3;772514.62;47814.24
2017;9;HALBJAEHRLICH;WEIBLICH;RAUCHEN;21;2;1;226803.47;1294.13
2018;9;HALBJAEHRLICH;MAENNLICH;RAUCHEN;33;14;9;246418.94;1605.43
2017;10;MONATLICH;MAENNLICH;RAUCHEN;27;3;2;911604.72;3894.55
2019;3;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;28;22;2;558740.62;22751.35
2019;2;HALBJAEHRLICH;MAENNLICH;RAUCHEN;44;4;3;718586.45;5918.47
2017;8;HALBJAEHRLICH;MAENNLICH;RAUCHEN;23;1;1;366573.45;1076.34
2017;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;19;31;17;974789.74;5253.76
2019;12;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;40;8;7;368454.65;2300
2017;3;HALBJAEHRLICH;WEIBLICH;NICHTRAUCHEN;57;5;1;247906.43;11824.75
2018;11;JAEHRLICH;MAENNLICH;RAUCHEN;60;4;4;978074.41;25169.03
2019;11;MONATLICH;WEIBLICH;NICHTRAUCHEN;58;5;4;629018.26;8611.18
2019;7;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;41;21;5;639307.3;14739.04
2019;3;HALBJAEHRLICH;WEIBLICH;RAUCHEN;46;1;1;985948.62;6409.58
2019;4;JAEHRLICH;MAENNLICH;RAUCHEN;60;3;1;337932.62;23549.82
2017;3;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;39;11;8;426386.88;3310.51
2017;2;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;20;14;13;147838.31;480.34
2017;5;MONATLICH;WEIBLICH;NICHTRAUCHEN;21;21;3;138377.08;2350.28
2018;12;HALBJAEHRLICH;MAENNLICH;RAUCHEN;49;12;3;76682.7;3742.4
2018;12;JAEHRLICH;WEIBLICH;NICHTRAUCHEN;28;27;27;672083.29;2681.14
2018;5;HALBJAEHRLICH;WEIBLICH;RAUCHEN;60;3;3;73238.15;1797.8
2018;12;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;49;6;6;474801.79;2964.25
2017;1;MONATLICH;WEIBLICH;NICHTRAUCHEN;18;48;6;403660.05;11665.1
2018;4;JAEHRLICH;MAENNLICH;RAUCHEN;24;15;5;661022.39;5583.12
2018;10;VIERTELJAEHRLICH;WEIBLICH;RAUCHEN;44;16;4;364622.21;13908.42
2017;6;JAEHRLICH;MAENNLICH;NICHTRAUCHEN;53;9;9;77860.58;691
2018;10;VIERTELJAEHRLICH;WEIBLICH;NICHTRAUCHEN;50;11;8;259120.47;2728.8
2018;5;VIERTELJAEHRLICH;MAENNLICH;NICHTRAUCHEN;20;38;36;219926.78;940.61
2019;3;VIERTELJAEHRLICH;MAENNLICH;RAUCHEN;38;13;6;68236.56;808.96
2018;11;MONATLICH;MAENNLICH;RAUCHEN;53;10;5;172251.68;5808.27
2019;8;HALBJAEHRLICH;WEIBLICH;RAUCHEN;58;5;1;879533.56;91039.04
